Designator,Value,Package,Mid X,Mid Y,Rotation,Side
C1,0.1uF,C_0603_1608Metric,39.075992,-77.510008,225,bottom
C2,0.1uF,C_0603_1608Metric,51.348008,-75.651992,45,bottom
C3,0.1uF,C_0603_1608Metric,46.060992,-80.431008,225,bottom
C4,10nF,C_0603_1608Metric,42.123992,-80.858992,315,bottom
C5,0.1uF,C_0603_1608Metric,38.313992,-70.825992,135,bottom
C6,0.1uF,C_0603_1608Metric,47.244,-66.281,90,bottom
C8,22pF,C_0603_1608Metric,37.551992,-65.364992,135,bottom
C9,22pF,C_0603_1608Metric,33.360992,-69.301992,315,bottom
C10,1uF,C_0603_1608Metric,38.862,-81.166,270,bottom
D1,1N4148,D_SOD-123,34.47415,-24.4485,270,bottom
D2,1N4148,D_SOD-123,53.54955,-24.4485,270,bottom
D3,1N4148,D_SOD-123,72.57415,-24.4485,270,bottom
D4,1N4148,D_SOD-123,91.62415,-24.4475,270,bottom
D5,1N4148,D_SOD-123,110.71225,-24.4485,270,bottom
D6,1N4148,D_SOD-123,129.72415,-24.4475,270,bottom
D7,1N4148,D_SOD-123,148.82495,-24.4475,270,bottom
D8,1N4148,D_SOD-123,167.86225,-24.4465,270,bottom
D9,1N4148,D_SOD-123,186.91225,-24.4475,270,bottom
D10,1N4148,D_SOD-123,205.89875,-24.4485,270,bottom
D11,1N4148,D_SOD-123,225.01225,-24.4485,270,bottom
D12,1N4148,D_SOD-123,251.36475,-24.4475,270,bottom
D13,1N4148,D_SOD-123,36.98875,-43.054,270,bottom
D14,1N4148,D_SOD-123,58.32475,-43.054,270,bottom
D15,1N4148,D_SOD-123,77.37475,-43.052,270,bottom
D16,1N4148,D_SOD-123,96.48825,-43.052,270,bottom
D17,1N4148,D_SOD-123,115.47475,-43.052,270,bottom
D18,1N4148,D_SOD-123,134.47395,-43.052,270,bottom
D19,1N4148,D_SOD-123,153.57475,-43.052,270,bottom
D20,1N4148,D_SOD-123,172.59173,-43.052,270,bottom
D21,1N4148,D_SOD-123,191.66967,-43.052,270,bottom
D22,1N4148,D_SOD-123,210.72475,-43.054,270,bottom
D23,1N4148,D_SOD-123,229.74935,-43.053,270,bottom
D24,1N4148,D_SOD-123,253.80315,-43.052,270,bottom
D25,1N4148,D_SOD-123,41.91,-62.611,270,bottom
D26,1N4148,D_SOD-123,67.91325,-62.611,270,bottom
D27,1N4148,D_SOD-123,86.89975,-62.611,270,bottom
D28,1N4148,D_SOD-123,105.94975,-62.61,270,bottom
D29,1N4148,D_SOD-123,124.99975,-62.61,270,bottom
D30,1N4148,D_SOD-123,144.04975,-62.5485,270,bottom
D31,1N4148,D_SOD-123,163.09975,-62.5475,270,bottom
D32,1N4148,D_SOD-123,182.14975,-62.5475,270,bottom
D33,1N4148,D_SOD-123,201.17435,-62.5485,270,bottom
D34,1N4148,D_SOD-123,220.24975,-62.5485,270,bottom
D35,1N4148,D_SOD-123,239.29975,-62.5485,270,bottom
D36,1N4148,D_SOD-123,241.71275,-62.5485,270,bottom
D37,1N4148,D_SOD-123,36.195,-82.4875,270,bottom
D38,1N4148,D_SOD-123,75.08875,-82.4875,270,bottom
D39,1N4148,D_SOD-123,96.393,-82.422,270,bottom
D40,1N4148,D_SOD-123,125.15723,-82.4875,270,bottom
D41,1N4148,D_SOD-123,165.63975,-82.4875,270,bottom
D42,1N4148,D_SOD-123,196.469,-82.422,270,bottom
D43,1N4148,D_SOD-123,218.09075,-82.4875,270,bottom
D44,1N4148,D_SOD-123,256.06375,-82.4855,270,bottom
F1,500mA,Fuse_1206_3216Metric,19.05,-62.989,270,bottom
J1,Conn_01x04,JST-SR-4,20.86575,-53.899,0,bottom
R1,10k,R_0603_1608Metric,36.627637,-72.822637,315,bottom
R2,22,R_0603_1608Metric,21.717,-67.373,90,bottom
R3,22,R_0603_1608Metric,20.193,-67.373,90,bottom
R4,10k,R_0603_1608Metric,51.867637,-71.933637,135,bottom
SW1,SW_Push,SKQG-1155865,26.742001,-67.639,90,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,44.770522,-73.563239,315,bottom
Y1,16mHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,35.451142,-67.359777,45,bottom
